"oid","typ","cid","tna","rnk","tid","oei","oli","eag","lag","rid","lng","lat"
199489,"occ",20600,"Urocyon cinereoargenteus",3,52594,"Late Pleistocene",NA,0.126,0.0117,2727,-86.5,39
199610,"occ",20612,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,2501,-112.900002,42.799999
199642,"occ",20615,"Vulpes vulpes",3,52691,"Late Pleistocene",NA,0.126,0.0117,1200,-110.699997,50.099998
199643,"occ",20615,"Canis lupus",3,44860,"Late Pleistocene",NA,0.126,0.0117,1200,-110.699997,50.099998
199670,"occ",20617,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,1766,-105,37.299999
199686,"occ",20619,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,1793,-110.199997,32
199687,"occ",20619,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,1793,-110.199997,32
199724,"occ",20624,"Canis dirus",3,44837,"Rancholabrean",NA,0.3,0.012,2588,-117.800003,33.599998
199750,"occ",20626,"Canis lupus",3,44860,"Late Pleistocene",NA,0.126,0.0117,1785,-140,68.199997
199751,"occ",20626,"Alopex lagopus",3,43911,"Late Pleistocene",NA,0.126,0.0117,1784,-140,68.199997
199768,"occ",20628,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,2018,-118.199997,34
199774,"occ",20629,"Canis",5,41198,"Late Pleistocene",NA,0.126,0.0117,3567,-82.099998,29.799999
199809,"occ",20634,"Urocyon cinereoargenteus",3,52594,"Late Pleistocene",NA,0.126,0.0117,3567,-82.300003,29.1
199827,"occ",20635,"Canis latrans",3,44854,"Late Pleistocene",NA,0.126,0.0117,3182,-106.699997,52.200001
199828,"occ",20635,"Vulpes vulpes",3,52691,"Late Pleistocene",NA,0.126,0.0117,3182,-106.699997,52.200001
199837,"occ",20636,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,3567,-81.449997,28.716667
199866,"occ",20638,"Urocyon cinereoargenteus",3,52594,"Late Pleistocene",NA,0.126,0.0117,3567,-82.199997,28.799999
199867,"occ",20638,"Canis dirus",3,44837,"Late Pleistocene",NA,0.126,0.0117,3567,-82.199997,28.799999
